date,btc:open,btc:high,btc:low,btc:close,btc:volume,btc:macd,btc:macd_diff,btc:macd_signal,btc:rsi,btc:bb_bbm,btc:bb_bbh,btc:bb_bbl,btc:atr,btc
2021-12-06,49413.480469,50929.519531,47281.035156,50582.625,37707308001,-2428.123485936805,-727.5905167674243,-1700.5329691693807,35.30871225302012,55908.71132819999,62071.016698216845,49746.40595818314,3383.3572120814397,50582.625
2021-12-07,50581.828125,51934.78125,50175.808594,50700.085938,33676814852,-2511.0703023316964,-648.4298665298525,-1862.640435801844,35.682659438088976,55425.315039149995,61629.201182550656,49221.42889574933,3267.329743789908,50700.085938
2021-12-08,50667.648438,51171.375,48765.988281,50504.796875,28479699446,-2563.0195532241996,-560.3032939378843,-2002.7162592863153,35.31713278432734,55103.44804695,61619.27186567474,48587.62422822526,3205.7623848763433,50504.796875
2021-12-09,50450.082031,50797.164063,47358.351563,47672.121094,29603577251,-2800.4807716018113,-638.2116098523966,-2162.2691617494147,30.445364297751652,54581.0751954,61693.73871754832,47468.41167325168,3222.4088216708906,47672.121094
2021-12-10,47642.144531,50015.253906,47023.699219,47243.304688,30966005122,-2988.819151474847,-661.2399917803455,-2327.5791596945014,29.77575241065611,53958.38066415,61345.70945435667,46571.051873943325,3205.9192406229695,47243.304688
2021-12-11,47264.632813,49458.210938,46942.347656,49362.507813,25775869261,-2933.2638533528734,-484.5477549266975,-2448.716098426176,37.134444236197936,53489.98222665,60795.10836305791,46184.85609024209,3156.629529292757,49362.507813
2021-12-12,49354.855469,50724.867188,48725.851563,50098.335938,21939223599,-2797.6115744441704,-279.1163808143956,-2518.495193629775,39.50484929313823,53180.4345704,60509.48758013639,45851.38156066361,3073.942821843274,50098.335938
2021-12-13,50114.742188,50205.0,45894.847656,46737.480469,32166727776,-2927.55211613742,-327.245538006116,-2600.306578131304,33.32427715570674,52638.8548829,60188.16503054742,45089.54473525258,3162.2435019973263,46737.480469
2021-12-14,46709.824219,48431.398438,46424.496094,46612.632813,34638619079,-3005.954323741673,-324.51819648829496,-2681.436127253378,33.117003292682924,52155.46523449999,59944.45003758078,44366.48043141921,3079.7191335689454,46612.632813
2021-12-15,48379.753906,49473.957031,46671.964844,48896.722656,36541828520,-2850.918067879,-135.58555250049767,-2715.332515378502,40.41851221651405,51736.5673829,59276.39443242336,44196.74033337664,3064.119496742592,48896.722656
2021-12-16,48900.464844,49425.574219,47529.878906,47665.425781,27268150947,-2795.1849335948064,-63.88193457304351,-2731.302999021763,38.00958174333664,51441.3503907,59131.80520666285,43750.895574737144,2980.660626475264,47665.425781
